小区分,拠点名,所在地
道の駅,富士,富士市五貫島669番1号
道の駅,くんま水車の里,浜松市天竜区熊1976-1
道の駅,花の三聖苑伊豆松崎,賀茂郡松崎町大沢20-1
道の駅,宇津ノ谷峠,静岡市駿河区宇津ノ谷82-2
道の駅,いっぷく処 横川,浜松市天竜区横川3085
道の駅,フォーレなかかわね茶茗舘,榛原郡川根本町水川71番地の1
道の駅,天城越え,伊豆市湯ヶ島892番地の6
道の駅,奥大井音戯の郷,榛原郡川根本町千頭1217-2
道の駅,朝霧高原,富士宮市根原492番地の14
道の駅,川根温泉,島田市川根町笹間渡220番地
道の駅,富士川楽座,富士市岩渕1488-1
道の駅,玉露の里,藤枝市岡部町新舟1214-3
道の駅,天竜相津花桃の里,浜松市天竜区大川31-10 
道の駅,伊東マリンタウン,伊東市湯川571-19
道の駅,開国下田みなと,下田市外ヶ岡1-1
道の駅,掛川,掛川市八坂882-1
道の駅,ふじおやま,駿東郡小山町用沢72-2
道の駅,潮見坂,湖西市白須賀1896-2
道の駅,伊豆のへそ,伊豆の国市田京195-2
道の駅,下賀茂温泉　湯の花,賀茂郡南伊豆町下賀茂157番地の1
道の駅,すばしり,駿東郡小山町須走338-41 
